carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
UA,261,1,0,1,1
AA,428,37,0,1,0
UA,168,27,0,1,0
AA,168,16,0,1,1
UA,624,44,1,1,0
AA,612,2,1,1,0
AA,198,3,0,1,0
AA,384,6,0,1,0
AA,380,12,0,1,0
AA,202,41,0,1,1
AA,279,74,0,1,0
UA,332,7,0,1,0
UA,632,3,0,1,0
AA,439,2,0,1,0
UA,441,6,0,1,0
AA,208,15,0,1,0
UA,246,14,0,1,0
UA,446,2,0,1,0
AA,448,12,0,1,0
UA,247,18,0,1,0
AA,313,9,0,1,0
AA,168,54,0,1,0
AA,198,60,0,1,0
UA,207,16,0,1,0
AA,262,30,0,1,1
AA,261,5,0,1,1
AA,237,16,0,1,0
AA,458,13,0,1,0
AA,458,8,0,1,0
AA,259,97,0,1,0
AA,252,91,0,1,1
UA,387,2,0,1,0
UA,246,14,0,1,0
AA,321,11,0,1,0
AA,448,6,0,1,0
UA,207,78,0,1,0
AA,396,4,0,1,0
AA,438,11,0,1,0
UA,387,2,0,1,0
UA,658,4,0,1,0
UA,658,2,0,1,0
AA,198,2,0,1,1
AA,237,26,0,1,0
AA,198,69,0,1,1
AA,383,5,0,1,0
AA,318,48,0,1,0
AA,395,11,0,1,0
UA,385,13,0,1,0
UA,658,4,0,1,0
UA,648,1,0,1,0
AA,322,27,0,1,1
UA,298,9,0,1,0
AA,198,24,0,1,1
AA,168,44,0,1,0
AA,193,26,0,1,1
AA,396,4,0,1,0
AA,237,17,0,1,0
UA,257,20,0,1,0
AA,208,27,0,1,0
AA,638,4,0,1,0
UA,252,28,0,1,1
AA,237,17,0,1,1
AA,208,19,0,1,0
AA,202,28,0,1,1
AA,458,9,0,1,0
UA,237,17,0,1,1
UA,168,34,0,1,0
AA,302,8,0,1,0
UA,332,5,0,1,0
AA,398,4,0,1,0
AA,438,10,0,1,0
UA,438,7,0,1,0
UA,237,38,0,1,0
AA,332,2,0,1,0
UA,258,18,0,1,0
AA,178,65,0,1,1
UA,387,9,0,1,0
AA,458,6,0,1,0
AA,438,11,0,1,0
AA,206,54,0,1,0
AA,237,22,0,1,0
AA,199,27,0,1,0
AA,333,3,0,1,0
UA,206,47,0,1,0
AA,658,0,0,1,1
UA,168,26,0,1,0
UA,390,7,0,1,0
UA,168,27,0,1,0
AA,252,91,0,1,1
AA,168,35,0,1,1
UA,387,0,0,1,0
UA,168,19,0,1,0
AA,658,6,0,1,0
UA,332,7,0,1,0
AA,612,5,0,0,0
AA,428,23,0,1,0
UA,441,7,0,1,0
AA,206,27,0,1,0
AA,237,23,0,1,1
AA,638,4,0,1,0
UA,278,30,0,1,1
AA,438,7,0,1,0
AA,612,1,0,0,0
AA,206,26,0,1,0
AA,458,13,0,1,0
AA,206,31,0,1,0
UA,186,31,0,1,1
AA,218,48,0,1,0
UA,396,5,0,1,0
AA,198,29,0,1,1
AA,253,25,0,1,1
AA,467,10,0,1,0
AA,248,35,0,1,1
AA,168,45,0,1,0
AA,206,20,0,1,0
AA,639,1,1,1,0
AA,1072,2,1,1,0
AA,448,7,0,1,0
AA,237,16,0,1,0
AA,1058,2,0,1,0
UA,258,15,0,1,0
AA,208,16,0,1,0
AA,298,10,0,1,1
AA,293,3,0,1,1
AA,237,19,0,1,0
UA,448,7,0,1,0
AA,237,14,0,1,0
UA,448,10,0,1,0
AA,206,14,0,1,0
AA,645,5,0,1,0
AA,198,15,0,1,1
UA,249,15,0,1,1
AA,210,41,0,1,1
AA,217,38,0,1,0
AA,382,1,0,1,0
AA,658,5,0,1,0
AA,206,35,0,1,0
AA,448,7,0,1,0
AA,658,4,0,1,0
AA,208,25,0,1,1
UA,448,8,0,1,0
UA,237,20,0,1,0
AA,378,34,0,1,0
